name,year,rank,age,height
Max von Sydow,(1929–2020),1,90,"6' 4"""
Ana de Armas,(2017),2,,"5' 6¼"""
Iliza Shlesinger,(2020),3,,"5' 5"""
Mark Wahlberg,(2010),4,48,"5' 8"""
Tom Hanks,(2000),5,63,"6' 0"""
Winston Duke,(2018),6,,"6' 5¼"""
Eiza González,(2017),7,,"5' 8¼"""
Rita Wilson,(1996),8,63,"5' 7¾"""
Sophia Lillis,(2017),9,18,"5' 0"""
Florence Pugh,(2014),10,24,"5' 4"""
Martha Higareda,(2002),11,36,"5' 3"""
Milana Vayntrub,(2016-2017),12,,"5' 3"""
Kaya Scodelario,(2017),13,28,"5' 6"""
Nicholas Tucci,(1981–2020),14,38,
Karen Gillan,(2014),15,32,"5' 11"""
Betty Gilpin,(2019),16,33,"5' 7"""
Margot Robbie,(2016),17,29,"5' 6"""
Olivia Wilde,(2010),18,36,"5' 7"""
Lily James,(2015),19,30,"5' 7"""
Thora Birch,(2001),20,,"5' 4"""
Linda Fiorentino,(1994),21,62,"5' 8"""
Emily Blunt,(2014),22,37,"5' 7"""
Anya Taylor-Joy,(2015),23,23,"5' 8"""
Peyton List,(2013-2014),24,33,"5' 7"""
Joel Kinnaman,(2014),25,,"6' 2½"""
Ben Mendelsohn,(2016),26,50,"5' 11"""
Paget Brewster,(2017),27,,"5' 8"""
Rebecca Ferguson,(2015),28,,"5' 5"""
Jodie Comer,(2018-2020),29,27,"5' 8"""
Taika Waititi,(2014),30,44,"6' 0½"""
Rachel Weisz,(2005),31,50,"5' 6"""
Brittany Snow,(2012),32,34,"5' 4"""
Richard Armitage,(2012),33,,"6' 2½"""
Scarlett Johansson,(2013),34,35,"5' 3"""
Sonoya Mizuno,(2014),35,,"5' 7"""
Alexandra Daddario,(2017),36,34,"5' 8"""
Bokeem Woodbine,(2017),37,46,"6' 0"""
Ben Affleck,(2012),38,47,"6' 3¾"""
Harvey Weinstein,(1998),39,68,"6' 0"""
Sam Heughan,(2014-2020),40,39,"6' 2½"""
Jenna Fischer,(2005-2013),41,46,"5' 6"""
Thomasin McKenzie,(2018),42,19,"5' 5"""
Mary Elizabeth Winstead,(2016),43,35,"5' 8"""
Dichen Lachman,(2018-2020),44,,"5' 7½"""
Renée Elise Goldsberry,(1999-2007),45,,"5' 7"""
Brad Pitt,(2005),46,56,"5' 11"""
Tom Hardy,(2010),47,42,"5' 9"""
Daniel Craig,(2006),48,52,"5' 10"""
Hannah John-Kamen,(2018),49,30,"5' 6"""
Dwayne Johnson,(2017),50,47,"6' 5"""
Elisabeth Shue,(1995),51,56,"5' 2"""
Gina Carano,(2011),52,,"5' 8"""
Rosa Salazar,(2019),53,34,"5' 4"""
Henry Cavill,(2013),54,36,"6' 1"""
Elisabeth Moss,(2014),55,37,"5' 3"""
Peter Berg,(1998),56,56,"6' 1"""
Caitriona Balfe,(2014-2020),57,,"5' 9"""
Ornella Muti,(1980),58,65,"5' 6¼"""
Evan Rachel Wood,(2003),59,32,"5' 7"""
Alison Pill,(2010),60,34,"5' 6½"""
Dina Shihabi,(2018),61,30,"5' 7"""
Cillian Murphy,(2002),62,43,"5' 9"""
Corey Haim,(1971–2010),63,48,"5' 7"""
Britt Robertson,(2015),64,29,"5' 3"""
Jane Levy,(2013),65,,"5' 1½"""
Sharon Stone,(1992),66,62,"5' 8½"""
Logan Lerman,(2012),67,28,"5' 9"""
Haley Bennett,(2016),68,32,"5' 8"""
Emily Osment,(2009),69,28,"5' 3"""
Tom Cruise,(1986),70,57,"5' 7"""
Jeri Ryan,(1997-2001),71,,"5' 8"""
John Krasinski,(2018),72,40,"6' 3"""
Christian Bale,(2008),73,46,"6' 0¼"""
Vin Diesel,(2014),74,52,"5' 11¾"""
Lena Olin,(2002-2006),75,64,"5' 10¼"""
Chet Hanks,(2008),76,29,"5' 10"""
Natalie Dormer,(2012-2016),77,,"5' 5¾"""
Andrea Riseborough,(2014),78,38,"5' 5½"""
Elle Fanning,(2011),79,21,"5' 9"""
Isa Briones,(2010),80,21,"5' 4"""
Anya Chalotra,(2019),81,,"5' 6"""
George MacKay,(2016),82,28,"6' 0"""
Samara Weaving,(2019),83,28,"5' 5"""
Lucy Fry,(2017),84,28,"5' 9"""
Leonardo DiCaprio,(2010),85,45,"6' 0"""
Natasha Alam,(2010),86,,"5' 9"""
Katheryn Winnick,(2013-2020),87,,"5' 6"""
Christina Hendricks,(2012),88,44,"5' 8"""
Naomi Scott,(2019),89,26,"5' 4¼"""
Johnny Flynn,(2014),90,37,"5' 10"""
Tom Holland,(2017),91,23,"5' 8¼"""
Samantha Morton,(2002),92,42,"5' 3"""
