imdb_id,title,year,director,production_co,region_code,rank,budget_usd,us_gross
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,Lucasfilm,[US],519,$245MM,$937MM
tt4154796,Avengers: Endgame,2019,Anthony Russo,Marvel Studios,[US],111,$356MM,$858MM
tt0499549,Avatar,2009,James Cameron,Twentieth Century Fox,[US],533,$237MM,$761MM
tt1825683,Black Panther,2018,Ryan Coogler,Marvel Studios,[US],269,$200MM,$700MM
tt4154756,Avengers: Infinity War,2018,Anthony Russo,Marvel Studios,[US],376,$321MM,$679MM
tt0120338,Titanic,1997,James Cameron,Twentieth Century Fox,[US],341,$200MM,$659MM
tt0369610,Jurassic World,2015,Colin Trevorrow,Universal Pictures,[US],"1,115",$150MM,$652MM
tt0848228,The Avengers,2012,Joss Whedon,Marvel Studios,[US],781,$220MM,$623MM
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,Rian Johnson,Walt Disney Pictures,[US],848,$317MM,$620MM
tt3606756,Incredibles 2,2018,Brad Bird,Walt Disney Pictures,[US],"1,282",$200MM,$609MM
tt6105098,The Lion King,2019,Jon Favreau,Fairview Entertainment,[US],114,$260MM,$544MM
tt0468569,The Dark Knight,2008,Christopher Nolan,Warner Bros.,[US],211,$185MM,$535MM
tt3748528,Rogue One: A Star Wars Story,2016,Gareth Edwards,Lucasfilm,[US],648,$200MM,$532MM
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,J.J. Abrams,Walt Disney Pictures,[US],139,$200MM,$515MM
tt2771200,Beauty and the Beast,2017,Bill Condon,Mandeville Films,[US],738,$160MM,$504MM
tt2277860,Finding Dory,2016,Andrew Stanton,Pixar Animation Studios,[US],"2,562",$200MM,$486MM
tt4520988,Frozen II,2019,Chris Buck,Walt Disney Animation Studios,[US],82,$150MM,$477MM
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,George Lucas,Lucasfilm,[US],763,$115MM,$475MM
tt0076759,Star Wars: Episode IV - A New Hope,1977,George Lucas,Lucasfilm,[US],690,$11MM,$461MM
tt2395427,Avengers: Age of Ultron,2015,Joss Whedon,Marvel Studios,[US],949,$250MM,$459MM
tt1345836,The Dark Knight Rises,2012,Christopher Nolan,Warner Bros.,[US],432,$250MM,$448MM
tt0298148,Shrek 2,2004,Andrew Adamson,DreamWorks,[US],"2,812",$150MM,$441MM
tt0083866,E.T. the Extra-Terrestrial,1982,Steven Spielberg,Universal Pictures,[US],"1,260",$10MM,$435MM
tt1979376,Toy Story 4,2019,Josh Cooley,Pixar Animation Studios,[US],207,$200MM,$434MM
tt4154664,Captain Marvel,2019,Anna Boden,Walt Disney Pictures,[US],405,$175MM,$427MM
tt1951264,The Hunger Games: Catching Fire,2013,Francis Lawrence,Color Force,[US],"1,416",$130MM,$425MM
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,Walt Disney Pictures,[US],"1,567",$225MM,$423MM
tt0110357,The Lion King,1994,Roger Allers,Walt Disney Pictures,[US],565,$45MM,$423MM
tt4881806,Jurassic World: Fallen Kingdom,2018,J.A. Bayona,Universal Pictures,[US],756,$170MM,$418MM
tt0435761,Toy Story 3,2010,Lee Unkrich,Walt Disney Pictures,[US],"1,588",$200MM,$415MM
tt0451279,Wonder Woman,2017,Patty Jenkins,Warner Bros.,[US],345,$149MM,$413MM
tt1300854,Iron Man 3,2013,Shane Black,Marvel Studios,[US],965,$200MM,$409MM
tt3498820,Captain America: Civil War,2016,Anthony Russo,Marvel Studios,[US],"1,046",$250MM,$408MM
