imdb_id,date
tt4154756,2018-04-25
tt4154796,2019-04-24
tt2488496,2015-12-15
tt0499549,2009-12-10
tt1825683,2018-02-13
tt2527336,2017-12-13
tt3606756,2018-06-14
tt0848228,2012-04-25
tt0369610,2015-06-06
tt0120338,1997-11-18
tt3748528,2016-12-14
tt2527338,2019-12-18
tt0468569,2008-07-16
tt2771200,2017-03-16
tt6105098,2019-07-12
tt0120915,1999-05-19
tt4520988,2019-11-20
tt2277860,2016-06-16
tt2395427,2015-04-22
tt1979376,2019-06-19
tt0083866,1982-06-11
tt0076759,1977-05-25
tt0298148,2004-05-19
tt4154664,2019-03-06
tt1345836,2012-07-16
tt0383574,2006-06-20
tt1951264,2013-11-15
tt0110357,1994-05-07
tt4881806,2018-06-06
tt0435761,2010-06-16
tt1300854,2013-04-18
tt0145487,2002-05-01
tt3498820,2016-04-27
tt0451279,2017-05-30
tt1392170,2012-03-12
tt2294629,2013-11-27
tt6320628,2019-06-28
tt0107290,1993-06-11
tt1055369,2009-06-19
tt2283362,2017-12-09
tt0121766,2005-05-17
tt3896198,2017-04-19
tt0167260,2003-12-01
tt1201607,2011-07-07
tt0266543,2003-05-30
tt3040964,2016-04-07
tt1690953,2013-06-25
tt2709768,2016-06-18
tt0335345,2004-02-25
tt0316654,2004-06-25
tt1431045,2016-02-09
tt2820852,2015-04-01
tt1399103,2011-06-28
tt6139732,2019-05-22
tt2096673,2015-06-09
tt2179136,2014-12-11
tt1951265,2014-11-18
tt0413300,2007-05-01
tt2948356,2016-02-11
tt0167261,2002-12-18
tt1477834,2018-12-07
tt2293640,2015-06-17
tt7286456,2019-10-02
tt1014759,2010-03-03
tt2250912,2017-07-05
tt1386697,2016-08-03
tt0109830,1994-07-06
tt0241527,2001-11-16
tt0371746,2008-04-30
tt2975590,2016-03-23
tt2015381,2014-07-30
tt1396484,2017-09-06
tt5463162,2018-05-10
tt0418279,2007-06-27
tt0413267,2007-05-17
tt7975244,2019-12-04
tt0367882,2008-05-21
tt3501632,2017-10-25
tt0120737,2001-12-18
tt1228705,2010-04-28
tt0325980,2003-07-09
tt0116629,1996-06-25
tt0086190,1983-05-25
tt0449088,2007-05-19
tt0121765,2002-05-15
tt1325004,2010-06-23
tt1259571,2009-03-15
tt1074638,2012-10-25
tt0417741,2009-07-07
tt0903624,2012-11-26
tt0926084,2010-10-17
tt1049413,2009-05-28
tt1375666,2010-07-15
tt0373889,2007-06-28
tt0167404,1999-08-06
tt0330373,2005-11-16
tt0770828,2013-06-12
tt0080684,1980-05-20
tt1673434,2012-11-13
tt0363771,2005-12-07
tt0099785,1990-11-09
tt0234215,2003-05-15
tt0198781,2001-11-01
tt1324999,2011-03-15
tt1951266,2015-11-18
tt1119646,2009-06-02
tt1454468,2013-10-03
tt0290002,2004-12-22
tt3470600,2016-11-23
tt2709692,2018-11-08
tt3469046,2017-06-15
tt0126029,2001-05-16
tt0948470,2012-06-27
tt1453405,2013-06-20
tt0295297,2002-11-13
tt0317705,2004-11-05
tt0073195,1975-06-18
tt1843866,2014-03-20
tt0170016,2000-11-17
tt1170358,2013-12-11
tt0480249,2007-12-14
tt1490017,2014-02-06
tt0796366,2009-05-06
tt2310332,2014-12-10
tt0878804,2009-11-20
tt1411697,2011-05-25
tt0477347,2006-10-20
tt0096895,1989-06-23
tt1323594,2010-07-08
tt3521164,2016-11-23
tt2109248,2014-06-25
tt0082971,1981-06-12
tt0120363,1999-10-30
tt0304141,2004-05-31
tt0119654,1997-07-02
tt0315327,2003-05-23
tt0087332,1984-06-08
tt0317219,2006-06-08
tt0259446,2002-02-22
tt0117998,1996-05-10
tt1587310,2014-05-28
tt1217209,2012-06-21
tt1905041,2013-05-21
tt0892791,2010-05-16
tt1298650,2011-05-14
tt0376994,2006-05-24
tt0086960,1984-01-25
tt1623205,2013-03-07
tt3183660,2016-11-16
tt0407304,2005-06-28
tt1877832,2014-05-15
tt1211837,2016-10-25
tt0286106,2002-08-02
tt0119567,1997-05-23
tt0448157,2008-07-01
tt0162222,2000-12-22
tt0070047,1973-12-26
tt0974015,2017-11-15
tt3659388,2015-09-30
tt1408101,2013-05-05
tt0440963,2007-08-03
tt0266915,2001-08-03
tt3315342,2017-02-28
tt0910970,2008-06-22
tt4630562,2017-04-12
tt0465234,2007-12-13
tt0114709,1995-10-30
tt4912910,2018-07-13
tt2245084,2014-10-24
tt1231580,2009-12-21
tt0099653,1990-07-12
tt0360717,2005-12-12
tt1637725,2012-06-29
tt0101414,1991-11-13
tt0103639,1992-11-25
tt0107614,1993-11-24
tt0892769,2010-03-10
tt0120815,1998-07-24
tt0382625,2006-05-17
tt0952640,2007-12-13
tt0120755,2000-05-24
tt5095030,2018-07-04
tt0441773,2008-06-04
tt1727824,2018-10-24
tt1277953,2012-06-06
tt1517451,2018-10-03
tt0290334,2003-04-24
tt1482459,2012-03-01
tt1270797,2018-09-28
tt3778644,2018-05-15
tt0416449,2007-03-07
tt7349950,2019-09-04
tt0088763,1985-07-03
tt1596343,2011-04-20
tt0295178,2002-07-26
tt2103281,2014-06-26
tt0396269,2005-07-13
tt2380307,2017-10-27
tt0988045,2009-12-23
tt1229238,2011-12-07
tt0145660,1999-06-08
tt0382932,2007-06-22
tt0372784,2005-06-10
tt1981115,2013-10-29
tt0367594,2005-07-13
tt1872181,2014-04-16
tt0816711,2013-06-20
tt0209163,2001-05-04
tt0103064,1991-07-03
tt0120591,1998-07-01
tt0031381,1939-12-15
tt5848272,2018-11-20
tt0831387,2014-05-14
tt0398286,2010-11-24
tt1661199,2015-03-12
tt0366548,2006-11-16
tt2379713,2015-10-26
tt0892782,2009-03-19
tt0348150,2006-06-28
tt0213149,2001-05-21
tt1080016,2009-06-29
tt2381249,2015-07-23
tt1099212,2008-11-20
tt0097576,1989-05-24
tt0438097,2006-03-29
tt2294449,2014-06-05
tt0351283,2005-05-25
tt1216475,2011-06-11
tt1291150,2014-08-07
tt0120912,2002-07-03
tt1772341,2012-11-01
tt4633694,2018-12-06
tt0077631,1978-07-07
tt5013056,2017-07-19
tt6644200,2018-04-03
tt0172495,2000-05-01
tt0338348,2004-11-10
tt0481499,2013-03-20
tt0816692,2014-11-05
tt0319262,2004-05-26
tt2848292,2015-05-07
tt0029583,1937-12-20
tt0099348,1990-11-09
tt0356910,2005-06-07
