imdbId,budget,revenue,originalTitle,releaseDate
tt0848228,220000000,1519557910,The Avengers,2012-04-25
tt4154796,356000000,2.797800564e+09,Avengers: Endgame,2019-04-24
tt1825683,200000000,1346739107,Black Panther,2018-02-13
tt4154756,300000000,2046239637,Avengers: Infinity War,2018-04-25
tt2488496,245000000,2068223624,Star Wars: The Force Awakens,2015-12-15
tt0499549,237000000,2.787965087e+09,Avatar,2009-12-10
tt0120338,200000000,1845034188,Titanic,1997-11-18
tt0369610,150000000,1671713208,Jurassic World,2015-06-06
tt2527336,200000000,1332539889,Star Wars: The Last Jedi,2017-12-13
tt3606756,200000000,1241891456,Incredibles 2,2018-06-14
tt6105098,260000000,1656943394,The Lion King,2019-07-12
tt0468569,185000000,1004558444,The Dark Knight,2008-07-16
tt4520988,33000000,1330764959,Frozen II,2019-11-20
tt2277860,200000000,1028570889,Finding Dory,2016-06-16
tt0076759,11000000,775398007,Star Wars,1977-05-25
tt0120915,115000000,924317558,Star Wars: Episode I - The Phantom Menace,1999-05-19
tt4154796,356000000,2.797800564e+09,Avengers: Endgame,2019-04-24
tt2488496,245000000,2068223624,Star Wars: The Force Awakens,2015-12-15
tt1825683,200000000,1346739107,Black Panther,2018-02-13
tt4154756,300000000,2046239637,Avengers: Infinity War,2018-04-25
tt0499549,237000000,2.787965087e+09,Avatar,2009-12-10
tt0468569,185000000,1004558444,The Dark Knight,2008-07-16
tt6105098,260000000,1656943394,The Lion King,2019-07-12
tt2527338,250000000,1073604458,Star Wars: The Rise of Skywalker,2019-12-18
tt2771200,160000000,1263521126,Beauty and the Beast,2017-03-16
tt0120915,115000000,924317558,Star Wars: Episode I - The Phantom Menace,1999-05-19
tt0076759,11000000,775398007,Star Wars,1977-05-25
tt4520988,33000000,1330764959,Frozen II,2019-11-20
tt3748528,200000000,1056057273,Rogue One: A Star Wars Story,2016-12-14
tt2277860,200000000,1028570889,Finding Dory,2016-06-16
tt4154796,356000000,2.797800564e+09,Avengers: Endgame,2019-04-24
tt1825683,200000000,1346739107,Black Panther,2018-02-13
tt4154756,300000000,2046239637,Avengers: Infinity War,2018-04-25
tt2488496,245000000,2068223624,Star Wars: The Force Awakens,2015-12-15
tt0848228,220000000,1519557910,The Avengers,2012-04-25
tt0499549,237000000,2.787965087e+09,Avatar,2009-12-10
tt0369610,150000000,1671713208,Jurassic World,2015-06-06
tt0120338,200000000,1845034188,Titanic,1997-11-18
tt6105098,260000000,1656943394,The Lion King,2019-07-12
tt2527338,250000000,1073604458,Star Wars: The Rise of Skywalker,2019-12-18
tt0468569,185000000,1004558444,The Dark Knight,2008-07-16
tt2771200,160000000,1263521126,Beauty and the Beast,2017-03-16
tt0076759,11000000,775398007,Star Wars,1977-05-25
tt4520988,33000000,1330764959,Frozen II,2019-11-20
tt0120915,115000000,924317558,Star Wars: Episode I - The Phantom Menace,1999-05-19
tt2277860,200000000,1028570889,Finding Dory,2016-06-16
tt2395427,280000000,1405403694,Avengers: Age of Ultron,2015-04-22
tt1979376,175000000,1073394593,Toy Story 4,2019-06-19
tt1345836,250000000,1081041287,The Dark Knight Rises,2012-07-16
tt0083866,10500000,792965326,E.T. the Extra-Terrestrial,1982-06-11
tt0298148,150000000,919838758,Shrek 2,2004-05-19
tt4154664,152000000,1128274794,Captain Marvel,2019-03-06
tt4881806,170000000,1303459585,Jurassic World: Fallen Kingdom,2018-06-06
tt0435761,200000000,1066969703,Toy Story 3,2010-06-16
tt0383574,200000000,1065659812,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
tt0110357,45000000,987483777,The Lion King,1994-05-07
tt1951264,130000000,847423452,The Hunger Games: Catching Fire,2013-11-15
tt1300854,200000000,1214811252,Iron Man 3,2013-04-18
tt3498820,250000000,1153296293,Captain America: Civil War,2016-04-27
tt1055369,150000000,836297228,Transformers: Revenge of the Fallen,2009-06-19
tt0451279,149000000,821847012,Wonder Woman,2017-05-30
tt0145487,139000000,821708551,Spider-Man,2002-05-01
tt1392170,75000000,691210692,The Hunger Games,2012-03-12
tt2395427,280000000,1405403694,Avengers: Age of Ultron,2015-04-22
tt0083866,10500000,792965326,E.T. the Extra-Terrestrial,1982-06-11
tt4154664,152000000,1128274794,Captain Marvel,2019-03-06
tt0298148,150000000,919838758,Shrek 2,2004-05-19
tt0848228,220000000,1519557910,The Avengers,2012-04-25
tt0369610,150000000,1671713208,Jurassic World,2015-06-06
tt0110357,45000000,987483777,The Lion King,1994-05-07
tt4881806,170000000,1303459585,Jurassic World: Fallen Kingdom,2018-06-06
tt0383574,200000000,1065659812,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
tt1951264,130000000,847423452,The Hunger Games: Catching Fire,2013-11-15
tt0120338,200000000,1845034188,Titanic,1997-11-18
tt2527336,200000000,1332539889,Star Wars: The Last Jedi,2017-12-13
tt0435761,200000000,1066969703,Toy Story 3,2010-06-16
tt3606756,200000000,1241891456,Incredibles 2,2018-06-14
tt2395427,280000000,1405403694,Avengers: Age of Ultron,2015-04-22
tt3748528,200000000,1056057273,Rogue One: A Star Wars Story,2016-12-14
tt1979376,175000000,1073394593,Toy Story 4,2019-06-19
tt1345836,250000000,1081041287,The Dark Knight Rises,2012-07-16
tt0083866,10500000,792965326,E.T. the Extra-Terrestrial,1982-06-11
tt0298148,150000000,919838758,Shrek 2,2004-05-19
tt4154664,152000000,1128274794,Captain Marvel,2019-03-06
tt0383574,200000000,1065659812,Pirates of the Caribbean: Dead Man's Chest,2006-06-20
tt4881806,170000000,1303459585,Jurassic World: Fallen Kingdom,2018-06-06
tt0435761,200000000,1066969703,Toy Story 3,2010-06-16
tt1951264,130000000,847423452,The Hunger Games: Catching Fire,2013-11-15
tt0110357,45000000,987483777,The Lion King,1994-05-07
tt1300854,200000000,1214811252,Iron Man 3,2013-04-18
tt0451279,149000000,821847012,Wonder Woman,2017-05-30
tt0145487,139000000,821708551,Spider-Man,2002-05-01
tt3498820,250000000,1153296293,Captain America: Civil War,2016-04-27
tt1055369,150000000,836297228,Transformers: Revenge of the Fallen,2009-06-19
tt1392170,75000000,691210692,The Hunger Games,2012-03-12
tt0107290,63000000,920100000,Jurassic Park,1993-06-11
tt2283362,90000000,962102237,Jumanji: Welcome to the Jungle,2017-12-09
tt6320628,160000000,1131927996,Spider-Man: Far from Home,2019-06-28
tt2527338,250000000,1073604458,Star Wars: The Rise of Skywalker,2019-12-18
tt2771200,160000000,1263521126,Beauty and the Beast,2017-03-16
tt2294629,150000000,1274219009,Frozen,2013-11-27
tt0167260,94000000,1118888979,The Lord of the Rings: The Return of the King,2003-12-01
tt3896198,200000000,863756051,Guardians of the Galaxy Vol. 2,2017-04-19
tt1201607,125000000,1341511219,Harry Potter and the Deathly Hallows: Part 2,2011-07-07
tt0121766,113000000,850000000,Star Wars: Episode III - Revenge of the Sith,2005-05-17
tt0335345,30000000,611899420,The Passion of the Christ,2004-02-25
tt0316654,200000000,783766341,Spider-Man 2,2004-06-25
tt0266543,94000000,940335536,Finding Nemo,2003-05-30
tt1431045,58000000,783100000,Deadpool,2016-02-09
tt2820852,190000000,1506249360,Furious 7,2015-04-01
tt2709768,75000000,875457937,The Secret Life of Pets,2016-06-18
tt2096673,175000000,857611174,Inside Out,2015-06-09
tt6139732,183000000,1047612394,Aladdin,2019-05-22
tt3748528,200000000,1056057273,Rogue One: A Star Wars Story,2016-12-14
tt1014759,200000000,1025467110,Alice in Wonderland,2010-03-03
tt2179136,58800000,542307423,American Sniper,2014-12-11
tt0413300,258000000,890871626,Spider-Man 3,2007-05-01
tt2948356,150000000,1023784195,Zootopia,2016-02-11
tt1951265,125000000,752100229,The Hunger Games: Mockingjay - Part 1,2014-11-18
tt0167261,79000000,926287400,The Lord of the Rings: The Two Towers,2002-12-18
tt1345836,250000000,1081041287,The Dark Knight Rises,2012-07-16
tt1979376,175000000,1073394593,Toy Story 4,2019-06-19
tt1300854,200000000,1214811252,Iron Man 3,2013-04-18
tt3498820,250000000,1153296293,Captain America: Civil War,2016-04-27
tt0451279,149000000,821847012,Wonder Woman,2017-05-30
tt1055369,150000000,836297228,Transformers: Revenge of the Fallen,2009-06-19
tt2283362,90000000,962102237,Jumanji: Welcome to the Jungle,2017-12-09
tt0266543,94000000,940335536,Finding Nemo,2003-05-30
tt0107290,63000000,920100000,Jurassic Park,1993-06-11
tt6320628,160000000,1131927996,Spider-Man: Far from Home,2019-06-28
tt3896198,200000000,863756051,Guardians of the Galaxy Vol. 2,2017-04-19
tt0145487,139000000,821708551,Spider-Man,2002-05-01
tt0121766,113000000,850000000,Star Wars: Episode III - Revenge of the Sith,2005-05-17
tt2294629,150000000,1274219009,Frozen,2013-11-27
tt1201607,125000000,1341511219,Harry Potter and the Deathly Hallows: Part 2,2011-07-07
tt1392170,75000000,691210692,The Hunger Games,2012-03-12
tt0316654,200000000,783766341,Spider-Man 2,2004-06-25
tt2096673,175000000,857611174,Inside Out,2015-06-09
tt2820852,190000000,1506249360,Furious 7,2015-04-01
tt2709768,75000000,875457937,The Secret Life of Pets,2016-06-18
tt0167260,94000000,1118888979,The Lord of the Rings: The Return of the King,2003-12-01
tt1690953,76000000,970761885,Despicable Me 2,2013-06-25
tt1431045,58000000,783100000,Deadpool,2016-02-09
tt6139732,183000000,1047612394,Aladdin,2019-05-22
tt0107290,63000000,920100000,Jurassic Park,1993-06-11
tt3606756,200000000,1241891456,Incredibles 2,2018-06-14
tt2527336,200000000,1332539889,Star Wars: The Last Jedi,2017-12-13
tt2283362,90000000,962102237,Jumanji: Welcome to the Jungle,2017-12-09
tt6320628,160000000,1131927996,Spider-Man: Far from Home,2019-06-28
tt0167260,94000000,1118888979,The Lord of the Rings: The Return of the King,2003-12-01
tt3896198,200000000,863756051,Guardians of the Galaxy Vol. 2,2017-04-19
tt0266543,94000000,940335536,Finding Nemo,2003-05-30
tt1201607,125000000,1341511219,Harry Potter and the Deathly Hallows: Part 2,2011-07-07
tt0121766,113000000,850000000,Star Wars: Episode III - Revenge of the Sith,2005-05-17
tt0335345,30000000,611899420,The Passion of the Christ,2004-02-25
tt0316654,200000000,783766341,Spider-Man 2,2004-06-25
tt2294629,150000000,1274219009,Frozen,2013-11-27
tt1431045,58000000,783100000,Deadpool,2016-02-09
tt3040964,175000000,966550600,The Jungle Book,2016-04-07
tt2096673,175000000,857611174,Inside Out,2015-06-09
tt1690953,76000000,970761885,Despicable Me 2,2013-06-25
tt2820852,190000000,1506249360,Furious 7,2015-04-01
tt2709768,75000000,875457937,The Secret Life of Pets,2016-06-18
tt6139732,183000000,1047612394,Aladdin,2019-05-22
tt1014759,200000000,1025467110,Alice in Wonderland,2010-03-03
tt1399103,195000000,1123746996,Transformers: Dark of the Moon,2011-06-28
tt2948356,150000000,1023784195,Zootopia,2016-02-11
tt2179136,58800000,542307423,American Sniper,2014-12-11
tt0413300,258000000,890871626,Spider-Man 3,2007-05-01
